,text
39," Various industry experts have predicted that blockchain technology can lead to more customized financial engineering, “enabling financiers to customize derivatives consisting of individual cash flows to meet precise needs in terms of timing and credit risk.”46 This engineering can be done using the various platforms, solutions, and frameworks discussed above, or through specialized blockchain derivatives players."
40,"It should be noted that the existing legal system in most countries, including India, is set up with a securities regulator and regulated exchanges as the core parties. Hence, a new decentralized technology cannot by itself disrupt this legal model. At least in the near term, it seems likely that trust will continue to be placed in central parties viz. the securities regulator and stock exchanges, unless legal amendments are brought in"
41,Blockchain is a type of DLT which enables a community of users to record transactions in a distributed (without a central repository) and a decentralized (without a central authority) manner. 
42,"The transaction records are visible to all the participants of the blockchain network, while being immutable at the same time. Blockchains rely heavily on cryptographic primitives. "
43,"The tamper-evident and the tamper-resilient nature of blockchains, as well as the participantdependent consensus algorithm for validation of transactions does away the need for a third-party intermediary to validate a transaction, as well the risk of duplication or malicious change in a trail of records. The distributed nature of the ledger ensures that the transaction settlement information is relayed simultaneously with the payment message. "
44,"The consensus system improves the transparency of decisions and trust among all stakeholders. However, the technology is still evolving and needs further pilots and evaluation."
45,"Some of the major fintech applications where blockchain is being deployed are: (i) Cross-border payments: Under the current structure of cross-border payments using SWIFT between two countries, a single cross-border payment has to go through multiple corresponding banks involved in receiving, collating and netting payment messages, which increases the settlement time and the costs associated at every level of payment message transmission. This requires the presence of a trusted third-party. "
46,"A blockchain-based solution to the associated issues with cross-border payments could encompass the following features: (a) Exclusion of intermediaries and direct transaction between parties. (b) Intra-day liquidity need not be ensured with central banks as all stakeholders will hold a copy of balances and transactions of every participant. (c) Encryption will nearly eliminate the possibility of modification of data and will maintain an immutable audit trail. (d) Private or permissioned blockchains, only limited to stakeholders, will address data protection and privacy concerns. (e) Consensus-based validation of transactions will allow for immediate updation of transaction trail. (f) Use of digital tokens resolve the issue of multiple currencies, improves liquidity and capital compliance costs, allows for micro-payments and expedites the payment process, which further eliminates liquidity risks."
47,"As a part of the R3 consortium, 22 banks are experimenting with distributed ledger systems on a global network. This shared infrastructure creates a representation of fiat currencies on a ledger to enable efficient cross-border payments."
48,. Blockchain will allow for distributed and decentralized records. The associated immutability will be useful for permanent traceability of securities records and transactions. 
49,"Securities can be directly issued to all the parties, with automated servicing process. Secure, real-time transaction matching across all nodes can be available, which when settled will be irrevocable. Moreover, the history of payments and transactions maintained on the ledger will enable more transparent supervision for auditory and regulatory authorities. "
50,"The features associate with blockchain can increase visibility into asset status, which can increase transaction transparency, security as well as allow for real time merchant tracking. "
51,"Smart Contracts: Smart contracts are a collection of code and data deployed on a blockchain, which automatically execute a contract once a specified kind of information is provided by the user. Since the code is on blockchain, it is immutable, and can be used as a trusted third party for financial transactions (including but not limited to transfer of funds). An example of web smart 16 R3, “R3 and 22 banks build real-time international payments solution on Corda DLT platform”, 2017, url: "
52,"Banking and Financial Services sector The Financial Services industry is witnessing an increasing number of Blockchain-based use cases that yield the potential to drive operational efficiencies and improve customer experience. There are multiple experiments in “Cross-border remittances”, “Post trade settlements”, “Trade Finance”, and even “Loyalty programs” applications from the financial services giants. "
53,"Blockchain use cases Trade Settlement Faster transfer of securities and payments and reduced trading cost by removing intermediaries Commercial Papers Issuance and Trading Smart contract based issuance and allocation of Commercial paper to investors, settlement of delivery and payments "
54,Digital Identity Near-real time contract management for on-boarding partners/customers using Blockchain based digital identity management Customer Onboarding Improve customer onboarding experience leveraging digital identities over Blockchain
55,"Presently, testing or adoption of blockchain applications is still limited to cryptocurrencies. A successful large scale execution of PoC (Proof of Concept) requires the banks to hire blockchain experts or data scientists which is a costly affair as compared to hiring software developers, making its adoption difficult. Conclusion Change is inevitable but often resisted by all, especially when it is transformational."
56,The Blockchain is at an infancy stage. It is too early to predict its applicability as a mainstream technology. There are still many changes that need to implement to make it full-proof.
57,We cannot ignore the fact that Blockchain is over-hyped which has made people have unrealistic expectations from it.
58,Lack of regulation and compliance are the most prominent challenge in the way of successful adoption of the Blockchain. 
59,"There are still millions of people who are alien to the concept of the internet and digitization, and under such circumstances, making Blockchain a part of mainstream life is a daunting task."
60,Blockchain’s decentralized structure presents unapparelled challenges for both financial institutions looking to adopt this technology and the regulatory organizations in charge of controlling it.
61,"Three major blockchain limitations for banking include the lack of governance, non-scalability, and regulatory compliance risks."
62,"Although the decentralized nature of blockchain is frequently considered as its core advantage, it poses certain limitations for the financial sector. Without a central decision-maker, members participating in a blockchain-powered financial transaction might have misaligned motives, which can become a serious bottleneck."
63,"However, it became apparent that any such system is still vulnerable to lobbyists and traditional majority-based voting mechanisms. This makes the principle unacceptable for most financial institutions."
64,"Due to the fact that blockchain is a distributed system, its cumulative processing power directly depends on the computational power of the devices involved. In comparison to Visa’s 1,700 transactions per second, blockchain can process around 4.6 transactions per second on average. This gap implies a huge challenge for the adoption of blockchain for banking on a global scale."
65,"With the increasing popularity of blockchain, the scalability problem only becomes more apparent. Although a multitude of scaling methods has been proposed, each of them comes with its limitations. One of the most notable ones is known as ‘sharding’. "
66,"The main challenges of sharding are related to security and communication. When a blockchain is split into shards, each behaves as an individual blockchain network. This adds an extra layer of complexity for developers because it requires a special communication protocol."
67,"The other challenge is security. Because of the splitting, the hash power of the blockchain nodes decreases. This makes it much easier for cybercriminals to hack any single shard, which will inevitably lead to a permanent loss of data."
68,"Financial institutions also face a lack of clarity around regulations. At the moment, there are no regulations when it comes to transfers made with cryptocurrencies and smart contracts. Until a proper regulatory framework is established, it won’t be possible for financial institutions to use blockchain."
69,"Due to the fact that blockchains don’t have central governance units, it’s difficult to assign responsibility. This alone makes it hard for blockchain technology to comply with the EU legislation."
70,"Due to the fact that blockchains don’t have central governance units, it’s difficult to assign responsibility. This alone makes it hard for blockchain technology to comply with the EU legislation."
71,"Although the aim of both blockchain and the GDPR is to protect data, the enacted legislation may dramatically limit the adoption of blockchain in global banking."
72,"The European Parliament released a study on blockchain and the GDPR, aimed at resolving this conflict. While it mentions plenty of ways to address the ongoing clash of interests, it is more than likely that deep changes to blockchain technology will be required to solve all such concerns."
73,"Despite being successfully adopted in a number of ways across different industries, blockchain is still immature in the context of the financial sector. "
74,Permissionless blockchain systems in particular won’t be able to meet these requirements unless significantly reworked.
75,"Although there are major hurdles on the way, the blockchain-powered banking future is inevitable. "
